auctionNo;auctionUniqueId;organization;auctionId;auctionStart;auctionEnd;auctionName;auctionVal;comparativePrice;winnerOffer;currency;invitationsCount;registeredParticipantsCount;activeParticipantsCount;winner;auctionType;category;subcategory;itemsCount;offerChangesCount;extensionsCount;country;percentageReductionMinStep;savingComparison
8140;1065-181-5897;181;5897;1.7.2019 13:00;8.7.2019 12:56;Plechy 1.4571 I;Jednotlivé položky;0;61317,192;EUR;12;17;17;17727;ERMMA;Hutní materiál, kovy a slitiny;Plechy;11;208;13;Slovenská republika;0,1;0
8141;1459-1-1317;1;1317;16.5.2019 9:00;8.7.2019 13:00;JA41,42,43,47-1;Jednotlivé položky;3465000;4698007,16;CZK;12;11;11;3934;poptavka;Stavebnictví;Stavební práce, rekonstrukce a revitalizace;3;467;0;;0,1;-0,355846222
8142;1105-60-2997;60;2997;8.7.2019 10:30;8.7.2019 13:30;Silniční doprav;Celková nabídka účastníka;0;14976;CZK;38;26;26;8933;poptavka;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;1;149;0;;0;0
8143;370-15-1117;15;1117;27.6.2019 14:45;8.7.2019 13:34;Rekonštrukcia s;Celková nabídka účastníka;23308,117;14138,99;EUR;8;12;12;1330;ERMMA;Stavebnictví;Stavební práce, rekonstrukce a revitalizace;1;71;7;Slovenská republika;0;0,39338772
8144;1105-60-2996;60;2996;8.7.2019 10:30;8.7.2019 14:00;Silniční doprav;Celková nabídka účastníka;0;13000;CZK;43;25;25;10616;poptavka;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;1;181;0;;0;0
8145;198-116-6197;116;6197;27.6.2019 10:30;8.7.2019 14:00;Díly Vítkovice ;Jednotlivé položky;0;25555;CZK;0;2;2;4124;poptavka;Stroje, zařízení, nástroje, nářadí;Náhradní díly;1;2;0;Česká republika;0,1;0
8146;1120-36-2834;36;2834;8.7.2019 11:03;8.7.2019 14:03;plechy-8.7.2019;Jednotlivé položky;0;2669,5;EUR;10;17;17;9295;poptavka;Hutní materiál, kovy a slitiny;Plechy;2;39;0;;0,1;0
8147;198-116-6187;116;6187;26.6.2019 10:15;8.7.2019 15:00;Spony hadicové ;Jednotlivé položky;408,6;469,44;CZK;37;3;3;4632;poptavka;Stroje, zařízení, nástroje, nářadí;Spojovací materiál;5;9;0;Česká republika;0,1;-0,148898678
8148;198-116-6186;116;6186;26.6.2019 10:11;8.7.2019 15:00;Hutní materiál ;Jednotlivé položky;10049,298;10568,236;CZK;38;6;6;3953;poptavka;Hutní materiál, kovy a slitiny;Plechy;1;6;0;Česká republika;0,1;-0,051639229
8149;198-116-6188;116;6188;26.6.2019 10:41;8.7.2019 16:00;Vázací prostřed;Jednotlivé položky;115,64;135,2;CZK;30;4;4;4841;poptavka;Stroje, zařízení, nástroje, nářadí;Zabezpečovací zařízení, hasící a požární pomůcky;1;7;0;Česká republika;0,1;-0,169145624
8150;1129-105-2873;105;2873;5.6.2019 14:00;9.7.2019 7:17;Malování společ;Multikriteriální hodnocení;0;215548,8;CZK;3;29;29;10189;poptavka;Stavebnictví;Stavební práce, rekonstrukce a revitalizace;2;61;0;;0;0
8151;1129-105-2861;105;2861;17.5.2019 10:00;9.7.2019 7:52;Malování spol. ;Multikriteriální hodnocení;0;844342,5;CZK;6;25;25;10190;poptavka;Stavebnictví;Stavební práce, rekonstrukce a revitalizace;3;114;0;;0;0
8152;106-84-6483;84;6483;2.7.2019 14:00;9.7.2019 8:00;LC Hlboká, opra;Celková nabídka účastníka;5190,08;5447,4228;EUR;5;8;8;9267;ERMMA;Stavebnictví;Dopravní stavby;1;31;0;Slovenská republika;0,1;-0,04958359
8153;1120-36-2835;36;2835;8.7.2019 13:35;9.7.2019 8:35;Profily AB MIX ;Multikriteriální hodnocení;0;0;EUR;17;21;21;0;poptavka;Hutní materiál, kovy a slitiny;Tyče a dráty;17;159;0;;0,1;0
8154;1105-60-2991;60;2991;3.7.2019 9:30;9.7.2019 9:30;Výpalky;Jednotlivé položky;180682,6;46359,04;CZK;35;33;33;5958;poptavka;Hutní materiál, kovy a slitiny;Plechy;4;156;0;;0;0,743422776
8155;148-88-5742;88;5742;8.7.2019 11:00;9.7.2019 10:23;Plech tl. hladk;Jednotlivé položky;0;50008,56;CZK;7;9;9;6704;ERMMA;Hutní materiál, kovy a slitiny;Plechy;2;38;4;Česká republika;0,3;0
8156;148-88-5741;88;5741;8.7.2019 11:00;9.7.2019 11:00;Plech tl. hladk;Jednotlivé položky;0;27325,44;CZK;6;12;12;5130;poptavka;Hutní materiál, kovy a slitiny;Plechy;6;113;0;Česká republika;0,1;0
8157;636-1-3266;1;3266;3.7.2019 12:00;9.7.2019 11:00;Trubky hladké 1;Celková nabídka účastníka;0;80769,72;CZK;30;15;15;329;poptavka;Hutní materiál, kovy a slitiny;Roury, armatury a trubky;2;100;0;Česká republika;0,1;0
8158;585-1-3855;1;3855;1.7.2019 10:20;9.7.2019 11:18;Pranie prádla;Celková nabídka účastníka;1981,0093;1511,97;EUR;6;6;6;3808;ERMMA;Úklid, úklidové služby;Průmyslové a chemické čištění;1;69;29;Slovenská republika;0,5;0,236767844
8159;585-1-3860;1;3860;2.7.2019 11:00;9.7.2019 12:20;Výpočtová techn;Celková nabídka účastníka;36719,964;37447,092;EUR;1;5;4;824;ERMMA;Počítače, IT a telekomunikační služby;Hardware a příslušenství;3;32;0;Slovenská republika;0,5;-0,01980198
8160;1105-60-2998;60;2998;8.7.2019 11:10;9.7.2019 12:30;Silniční doprav;Celková nabídka účastníka;0;126690;CZK;46;31;31;8956;poptavka;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;3;250;0;;0;0
8161;585-1-3865;1;3865;28.6.2019 11:30;9.7.2019 12:50;Oprava a servis;Celková nabídka účastníka;0;28274,4;EUR;2;4;4;3809;ERMMA;Stroje, zařízení, nástroje, nářadí;Opravy a údržba;1;6;0;Slovenská republika;0,5;0
8162;148-88-5743;88;5743;9.7.2019 8:45;9.7.2019 13:00;Kabely - Akce: ;Celková nabídka účastníka;0;4845,95;CZK;9;15;15;6593;poptavka;Elektro, elektromateriál;Izolátory a ostatní elektromateriál;3;34;0;Česká republika;0,1;0
8163;1459-1-1329;1;1329;2.7.2019 9:00;9.7.2019 13:00;GO Nebytového p;Celková nabídka účastníka;0;381825,6;CZK;9;6;6;3939;poptavka;Stavebnictví;Stavební práce, rekonstrukce a revitalizace;1;125;0;;0,1;0
8164;198-116-6193;116;6193;27.6.2019 10:00;9.7.2019 14:00;Náhradní díly ;Jednotlivé položky;30714,279;15314;CZK;27;11;11;3945;poptavka;Stroje, zařízení, nástroje, nářadí;Náhradní díly;5;44;0;Česká republika;0,1;0,501404542
8165;1120-36-2836;36;2836;8.7.2019 11:34;9.7.2019 14:34;plechy-8.7.2019;Jednotlivé položky;0;4;EUR;10;16;16;9154;poptavka;Hutní materiál, kovy a slitiny;Plechy;2;131;0;;0,1;0
8166;1120-36-2837;36;2837;9.7.2019 12:39;9.7.2019 17:39;plechy-9.7.2019;Jednotlivé položky;0;1329,318;EUR;11;29;29;9814;poptavka;Hutní materiál, kovy a slitiny;Plechy;6;151;0;;0,1;0
8167;148-88-5745;88;5745;9.7.2019 13:30;10.7.2019 9:00;Profil čtvercov;Celková nabídka účastníka;0;29045,3376;CZK;17;11;11;5130;poptavka;Hutní materiál, kovy a slitiny;Plechy;2;22;0;Česká republika;0,1;0
8168;1120-36-2838;36;2838;9.7.2019 13:58;10.7.2019 9:58;plechy-9.7.2019;Jednotlivé položky;0;2596,51;EUR;6;19;19;9295;poptavka;Hutní materiál, kovy a slitiny;Plechy;3;75;0;;0,1;0
8169;1120-36-2839;36;2839;9.7.2019 15:06;10.7.2019 10:06;profily-9.7.201;Jednotlivé položky;0;590,9934;EUR;8;31;31;9365;poptavka;Hutní materiál, kovy a slitiny;Tyče a dráty;5;175;0;;0,1;0
8170;291-107-3962;107;3962;8.7.2019 11:30;10.7.2019 10:20;MONITOR EIZO EV;Jednotlivé položky;2533,64;2612;EUR;1;3;3;5768;ERMMA;Počítače, IT a telekomunikační služby;Hardware a příslušenství;1;3;0;Slovenská republika;0;-0,030927835
8171;648-102-3642;102;3642;4.7.2019 9:30;10.7.2019 10:20;dodávka systému;Celková nabídka účastníka;0;13008,8;EUR;2;23;23;8848;ERMMA;Hutní materiál, kovy a slitiny;Roury, armatury a trubky;1;192;1;Slovenská republika;0;0
8172;585-1-3871;1;3871;3.7.2019 12:00;10.7.2019 10:28;Výmena okien na;Celková nabídka účastníka;0;8353,8;EUR;9;9;9;2634;ERMMA;Stavebnictví;Stavební práce, rekonstrukce a revitalizace;1;76;4;Slovenská republika;0,5;0
8173;199-243-889;243;889;3.7.2019 9:00;10.7.2019 11:00;Ocelové svitky ;Celková nabídka účastníka;2001215,7;1986337,8;EUR;9;12;12;3578;ERMMA;Hutní materiál, kovy a slitiny;Plechy;120;1243;100;CZ;0;0,007434431
8174;1105-60-2999;60;2999;9.7.2019 14:10;10.7.2019 12:00;Silniční doprav;Celková nabídka účastníka;0;0;CZK;47;24;24;0;poptavka;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;5;203;0;;0;0
8175;1423-2-524;2;524;4.7.2019 13:00;10.7.2019 12:00;„Kompleksowa ob;Celková nabídka účastníka;0;4992;PLN;8;24;24;1753;poptavka;Inženýrská činnost;Geologické a geodetické práce;1;865;0;;0,1;0
8176;509-35-1089;35;1089;26.6.2019 13:00;10.7.2019 12:00;Dodávka a uvede;Celková nabídka účastníka;0;560660;CZK;2;11;11;3069;poptavka;Stavebnictví;Instalaterský materiál a práce;1;24;0;Česká republika;0,1;0
8177;1423-2-522;2;522;2.7.2019 12:30;10.7.2019 13:00;„DOSTAWA RUR I ;Multikriteriální hodnocení;0;675240,228;PLN;7;20;20;343;poptavka;Stavebnictví;Stavební materiály;1;670;0;;0,1;0
8178;1120-36-2840;36;2840;10.7.2019 6:56;10.7.2019 13:26;Profily AB MIX ;Multikriteriální hodnocení;0;0;EUR;18;39;39;0;poptavka;Hutní materiál, kovy a slitiny;Tyče a dráty;46;240;0;;0,1;0
8179;1197-8-678;8;678;8.7.2019 14:30;10.7.2019 13:30;Dostawa fabrycz;Celková nabídka účastníka;0;4134,5304;PLN;10;15;15;633;poptavka;Stroje, zařízení, nástroje, nářadí;Těsnění, ventily;1;192;0;;0,1;0
8180;1423-2-523;2;523;2.7.2019 13:30;10.7.2019 14:10;„DOSTAWA KSZTAŁ;Multikriteriální hodnocení;0;33630;PLN;4;17;17;391;poptavka;Stavebnictví;Stavební materiály;1;672;5;;0,1;0
8181;1120-36-2841;36;2841;10.7.2019 12:45;10.7.2019 17:45;plechy-10.7.201;Jednotlivé položky;0;3935,616;EUR;6;20;20;9154;poptavka;Hutní materiál, kovy a slitiny;Plechy;3;46;0;;0,1;0
8182;198-116-6027;116;6027;14.5.2019 13:00;11.7.2019 9:00;Oprava vodícího;Celková nabídka účastníka;97000;551000;CZK;6;8;8;3946;poptavka;Stroje, zařízení, nástroje, nářadí;Opravy a údržba;1;10;0;Česká republika;0,1;-4,680412371
8183;636-1-3262;1;3262;26.6.2019 14:00;11.7.2019 9:34;Oprava plastů v;Celková nabídka účastníka;0;1248000;CZK;30;32;32;2522;poptavka;Hutní materiál, kovy a slitiny;Kovovýroba a povrchová úprava kovů;1;175;4;Česká republika;0,1;0
8184;519-3-334;3;334;1.7.2019 13:00;11.7.2019 10:20;Náhradné diely ;Celková nabídka účastníka;0;4652,9387;EUR;6;2;2;627;ERMMA;Stroje, zařízení, nástroje, nářadí;Náhradní díly;2;2;0;Slovenská Republika;0,2;0
8185;291-107-3963;107;3963;9.7.2019 10:05;11.7.2019 10:22;JEDNOTKA KOMUN.;Jednotlivé položky;3607,72;3375,9;EUR;2;5;5;5618;ERMMA;Stroje, zařízení, nástroje, nářadí;Řídící a automatické systémy;1;16;2;Slovenská republika;0;0,06425665
8186;1474-50-1950;50;1950;25.6.2019 8:00;11.7.2019 10:22;Akumulátory gel;Celková nabídka účastníka;0;368194,1;CZK;5;7;7;8076;ERMMA;Elektro, elektromateriál;Batérie, akumulátory, generátory a elektromotory;3;32;1;;0,1;0
8187;1481-50-1950;50;1950;25.6.2019 8:00;11.7.2019 10:22;Akumulátory gel;Celková nabídka účastníka;0;343171,2;CZK;1;7;7;8076;ERMMA;Elektro, elektromateriál;Batérie, akumulátory, generátory a elektromotory;3;32;1;;0,1;0
8188;162-1-10061;1;10061;8.7.2019 8:25;11.7.2019 10:25;Pružnica listov;Jednotlivé položky;0;1045;EUR;15;1;1;146;poptavka;Dopravní služby, auto-moto a příslušenství;Železniční doprava;2;1;0;Slovenská republika;0,1;0
8189;636-3-3227;3;3227;11.6.2019 13:30;11.7.2019 10:26;Výstavba mlžící;Celková nabídka účastníka;0;2875200;CZK;26;21;21;2825;poptavka;Stavebnictví;Vodohospodářské stavby;1;130;13;Česká republika;0,1;0
8190;1474-50-1953;50;1953;27.6.2019 9:00;11.7.2019 10:32;Nákup ložisek;Celková nabídka účastníka;0;357428,4;CZK;9;4;4;8080;ERMMA;Stroje, zařízení, nástroje, nářadí;Ložiska, gufera;10;56;1;;0,1;0
8191;1481-50-1953;50;1953;27.6.2019 9:00;11.7.2019 10:32;Nákup ložisek;Celková nabídka účastníka;0;343411,6;CZK;7;4;4;8080;ERMMA;Stroje, zařízení, nástroje, nářadí;Ložiska, gufera;10;56;1;;0,1;0
8192;468-1-586;1;586;19.6.2019 12:00;11.7.2019 10:38;Kancelárske pot;Celková nabídka účastníka;0;25217,28;EUR;11;25;25;1006;ERMMA;Kancelář;Kancelářské potřeby;1;483;19;Slovenská republika;0,5;0
8193;636-1-3273;1;3273;8.7.2019 13:00;11.7.2019 11:00;PROFIL 61009 X ;Celková nabídka účastníka;0;30812,16;CZK;16;18;18;1178;poptavka;Hutní materiál, kovy a slitiny;Plechy;2;133;0;Česká republika;0,1;0
8194;636-1-3269;1;3269;8.7.2019 8:00;11.7.2019 11:00;Ložisko soud.2ř;Celková nabídka účastníka;0;25544;CZK;26;42;38;1174;poptavka;Stroje, zařízení, nástroje, nářadí;Ložiska, gufera;1;597;0;Česká republika;0,1;0
8195;162-1-10031;1;10031;4.7.2019 9:45;11.7.2019 11:25;Previtie stator;Celková nabídka účastníka;0;1286;EUR;7;2;2;417;ERMMA;Dopravní služby, auto-moto a příslušenství;Železniční doprava;1;119;15;Slovenská republika;0,1;0
8196;1120-36-2842;36;2842;10.7.2019 14:05;11.7.2019 12:00;Profily AB MIX ;Multikriteriální hodnocení;0;0;EUR;18;31;31;0;poptavka;Hutní materiál, kovy a slitiny;Tyče a dráty;29;167;0;;0,1;0
8197;1197-8-669;8;669;2.7.2019 12:00;11.7.2019 12:20;Dostawa fabrycz;Multikriteriální hodnocení;0;25747,94;PLN;11;16;16;1376;ERMMA;Stroje, zařízení, nástroje, nářadí;Průmyslová automatizace, technologická řešení a inovace;1;70;0;;0,1;0
8198;80-1-3505;1;3505;24.6.2019 13:30;11.7.2019 12:38;Servopohony;Celková nabídka účastníka;220500;215280;CZK;11;18;18;23;ERMMA;Stroje, zařízení, nástroje, nářadí;Náhradní díly;1;122;0;Česká republika;0,1;0,023673469
8199;162-1-10068;1;10068;9.7.2019 7:50;11.7.2019 13:00;Potrubie palivo;Celková nabídka účastníka;0;342;EUR;5;1;1;100;poptavka;Dopravní služby, auto-moto a příslušenství;Železniční doprava;1;1;0;Slovenská republika;0,1;0
8200;1105-60-3000;60;3000;10.7.2019 14:30;12.7.2019 8:00;ocelové tyče a ;Jednotlivé položky;0;4432,8192;CZK;26;26;26;5164;poptavka;Hutní materiál, kovy a slitiny;Tyče a dráty;10;269;0;;0,1;0
8201;148-88-5744;88;5744;9.7.2019 10:00;12.7.2019 8:00;44045 - spoj. m;Jednotlivé položky;0;69,35;CZK;6;12;12;6608;poptavka;Stroje, zařízení, nástroje, nářadí;Spojovací materiál;13;46;0;Česká republika;0,1;0
8202;198-116-6248;116;6248;11.7.2019 13:00;12.7.2019 8:02;Nátěr ocelových;Celková nabídka účastníka;219927,5;200900;CZK;3;2;2;5235;nipon;Stroje, zařízení, nástroje, nářadí;Opravy a údržba;1;4;1;Česká republika;0;0,086517148
8203;87-62-2466;62;2466;11.7.2019 9:00;12.7.2019 8:10;Zemiaky nové   ;Celková nabídka účastníka;4040;2059,2;EUR;4;27;27;2084;ERMMA;Potraviny a nápoje;Ovoce a zelenina;1;57;0;Slovenská Republika;0;0,49029703
8204;84-74-2913;74;2913;8.7.2019 8:13;12.7.2019 8:13;Dodávka a výměn;Celková nabídka účastníka;0;643968;CZK;3;27;27;5746;poptavka;Stroje, zařízení, nástroje, nářadí;Dopravníkové pásy, drtící stroje;7;73;0;Česká republika;0,1;0
8205;198-116-6184;116;6184;26.6.2019 10:30;12.7.2019 8:30;7. VS - Oprava ;Celková nabídka účastníka;665000;124740;CZK;9;2;2;3946;poptavka;Stroje, zařízení, nástroje, nářadí;Opravy a údržba;1;3;0;Česká republika;0,1;0,812421053
8206;198-116-6227;116;6227;9.7.2019 14:00;12.7.2019 8:42;Oprava frekvenč;Celková nabídka účastníka;702783,9;544500;CZK;2;3;3;3996;nipon;Stroje, zařízení, nástroje, nářadí;Opravy a údržba;1;16;11;Česká republika;0;0,225224141
8207;198-116-6210;116;6210;3.7.2019 15:30;12.7.2019 9:00;Barracuda Email;Jednotlivé položky;51765;57415,8;CZK;31;5;5;4480;poptavka;Počítače, IT a telekomunikační služby;Software a informační systémy;1;6;0;Česká republika;0,1;-0,109162562
8208;1120-36-2843;36;2843;11.7.2019 16:13;12.7.2019 9:43;Profily AB MIX ;Multikriteriální hodnocení;0;0;EUR;17;24;24;0;poptavka;Hutní materiál, kovy a slitiny;Tyče a dráty;14;113;0;;0,1;0
8209;1105-60-3001;60;3001;10.7.2019 14:45;12.7.2019 10:00;Plochá ocel ;Jednotlivé položky;709500,4;682931,7;CZK;27;45;45;5876;poptavka;Hutní materiál, kovy a slitiny;Tyče a dráty;1;1190;0;;0,1;0,037447054
8210;198-116-6208;116;6208;3.7.2019 15:30;12.7.2019 10:00;Čerpadlo nabídk;Jednotlivé položky;0;74690;CZK;43;3;3;4017;poptavka;Stroje, zařízení, nástroje, nářadí;Čerpadla a kompresory;1;5;0;Česká republika;0,1;0
8211;198-116-6209;116;6209;3.7.2019 15:11;12.7.2019 10:00;Telefon mobilní;Celková nabídka účastníka;0;8200;CZK;47;6;6;4480;poptavka;Počítače, IT a telekomunikační služby;Telekomunikační služby a zařízení;1;6;0;Česká republika;0,1;0
8212;636-1-3267;1;3267;3.7.2019 13:15;12.7.2019 10:00;ND pro KU 800: ;Celková nabídka účastníka;0;34650;CZK;22;30;30;394;poptavka;Stroje, zařízení, nástroje, nářadí;Náhradní díly;1;111;0;Česká republika;0,1;0
8213;63-135-4939;135;4939;28.6.2019 13:00;12.7.2019 10:04;Kancelárske pot;Multikriteriální hodnocení;0;2528,895;EUR;4;7;7;6830;ERMMA;Kancelář;Kancelářské potřeby;33;310;22;Slovenská republika;1;0
8214;1474-50-1943;50;1943;20.6.2019 14:00;12.7.2019 12:00;Sada patkových ;Multikriteriální hodnocení;0;1400000;CZK;29;5;5;8034;poptavka;Stroje, zařízení, nástroje, nářadí;Manipulační technika, vozíky;1;15;0;;0,1;0
8215;1481-50-1943;50;1943;20.6.2019 14:00;12.7.2019 12:00;Sada patkových ;Multikriteriální hodnocení;0;1330000;CZK;32;5;5;8034;poptavka;Stroje, zařízení, nástroje, nářadí;Manipulační technika, vozíky;1;15;0;;0,1;0
8216;198-116-6246;116;6246;11.7.2019 10:30;12.7.2019 13:01;7. VS Oprava sá;Celková nabídka účastníka;349157;321750;CZK;1;1;1;3946;nipon;Stroje, zařízení, nástroje, nářadí;Opravy a údržba;1;3;0;Česká republika;0;0,078494775
8217;198-116-6168;116;6168;18.6.2019 16:30;12.7.2019 13:20;Oprava frekvenč;Celková nabídka účastníka;676000;577500;CZK;13;6;6;3996;poptavka;Stroje, zařízení, nástroje, nářadí;Opravy a údržba;1;10;0;Česká republika;0,1;0,145710059
8218;636-1-3279;1;3279;10.7.2019 8:30;12.7.2019 13:26;Ložiska SKF - z;Celková nabídka účastníka;0;63666,15;CZK;23;39;39;1541;poptavka;Stroje, zařízení, nástroje, nářadí;Ložiska, gufera;2;291;73;Česká republika;0,1;0
8219;1120-36-2844;36;2844;12.7.2019 9:32;12.7.2019 13:32;Profily AB MIX ;Multikriteriální hodnocení;0;0;EUR;18;29;29;0;poptavka;Hutní materiál, kovy a slitiny;Tyče a dráty;30;165;0;;0,1;0
8220;198-116-6121;116;6121;6.6.2019 16:00;12.7.2019 13:35;Nátěr ocelových;Celková nabídka účastníka;98000;209100;CZK;10;8;8;5235;poptavka;Stroje, zařízení, nástroje, nářadí;Opravy a údržba;1;60;0;Česká republika;0,1;-1,133673469
8221;1459-1-1327;1;1327;21.6.2019 14:00;12.7.2019 14:00;JA08-19, MA07-1;Jednotlivé položky;0;7568003,744;CZK;8;12;12;3938;poptavka;Stavebnictví;Stavební práce, rekonstrukce a revitalizace;2;37;0;;0,1;0
8222;198-116-6145;116;6145;18.6.2019 10:00;12.7.2019 15:00;Náhradní díly R;Jednotlivé položky;0;120602,5;CZK;0;6;6;4402;poptavka;Stroje, zařízení, nástroje, nářadí;Náhradní díly;2;22;0;Česká republika;0,1;0
8223;198-116-6207;116;6207;3.7.2019 10:00;12.7.2019 15:30;Hutní materiál ;Jednotlivé položky;20758,545;20532,825;CZK;38;6;6;3952;poptavka;Hutní materiál, kovy a slitiny;Plechy;5;34;0;Česká republika;0,1;0,010873594
8224;198-116-6223;116;6223;9.7.2019 10:20;12.7.2019 16:00;Náhradní díly k;Jednotlivé položky;10176;14356;CZK;43;5;5;4522;poptavka;Stroje, zařízení, nástroje, nářadí;Čerpadla a kompresory;1;8;0;Česká republika;0,1;-0,41077044
8225;198-116-6182;116;6182;25.6.2019 10:00;12.7.2019 16:00;Oprava potrubí ;Jednotlivé položky;0;62650,64;CZK;7;5;5;4429;poptavka;Stroje, zařízení, nástroje, nářadí;Opravy a údržba;1;6;0;Česká republika;0,1;0
8226;1120-36-2845;36;2845;12.7.2019 11:32;12.7.2019 16:32;plechy-12.7.201;Jednotlivé položky;0;1079,3475;EUR;11;26;26;9814;poptavka;Hutní materiál, kovy a slitiny;Plechy;10;131;0;;0,1;0
8227;636-1-3265;1;3265;3.7.2019 9:45;14.7.2019 10:00;výroba:  Vedení;Celková nabídka účastníka;0;84966;CZK;58;35;35;2835;poptavka;Stroje, zařízení, nástroje, nářadí;Náhradní díly;1;84;0;Česká republika;0,1;0
8228;106-84-6510;84;6510;9.7.2019 9:00;15.7.2019 8:00;LC Kálnica, opr;Celková nabídka účastníka;34647,03;34640,1;EUR;1;4;4;10210;ERMMA;Stavebnictví;Dopravní stavby;1;4;0;Slovenská republika;0,1;0,000200017
8229;84-74-2914;74;2914;8.7.2019 11:20;15.7.2019 8:10;Dodávka a výměn;Multikriteriální hodnocení;0;337532;CZK;6;28;28;5673;ERMMA;Stroje, zařízení, nástroje, nářadí;Dopravníkové pásy, drtící stroje;3;199;0;Česká republika;0,1;0
8230;1120-36-2849;36;2849;12.7.2019 14:40;15.7.2019 8:40;profily-12.7.20;Jednotlivé položky;0;2513,368;EUR;10;30;30;9295;poptavka;Hutní materiál, kovy a slitiny;Tyče a dráty;3;210;0;;0,1;0
8231;1129-105-2860;105;2860;17.5.2019 10:00;15.7.2019 9:07;Výměna garážový;Multikriteriální hodnocení;90900;0;CZK;7;17;17;0;poptavka;Stavebnictví;Stavební práce, rekonstrukce a revitalizace;1;145;0;;0;1
8232;162-1-10076;1;10076;10.7.2019 12:00;15.7.2019 9:20;Priechodka   KK;Celková nabídka účastníka;6587,16;6507,9;EUR;13;2;2;92;ERMMA;Dopravní služby, auto-moto a příslušenství;Železniční doprava;1;42;0;Slovenská republika;0,1;0,0120325
8233;344-121-3649;121;3649;2.7.2019 8:34;15.7.2019 9:30;2. kolo Obalový;Celková nabídka účastníka;0;6350799;CZK;2;33;33;7073;poptavka;Obaly;Dřevěné obaly a palety;7;135;0;Česká republika;0,1;0
8234;1120-36-2848;36;2848;12.7.2019 14:32;15.7.2019 9:32;plechy-12.7.201;Jednotlivé položky;0;1641,6;EUR;3;23;23;9392;poptavka;Hutní materiál, kovy a slitiny;Plechy;2;270;0;;0,1;0
8235;1120-36-2846;36;2846;12.7.2019 13:46;15.7.2019 9:46;plechy-12.7.201;Jednotlivé položky;0;2156,892;EUR;6;14;14;9154;poptavka;Hutní materiál, kovy a slitiny;Plechy;5;29;0;;0,1;0
8236;1072-6-917;6;917;11.7.2019 9:00;15.7.2019 10:16;Výběrové řízení;Jednotlivé položky;0;603980;CZK;15;14;14;168;ERMMA;Odpadové hospodářství;Šrot a kovový odpad;5;220;130;;0,1;0
8237;1465-19-1869;19;1869;15.7.2019 10:00;15.7.2019 10:35;Leizig  3plt;Jednotlivé položky;0;380;EUR;15;5;5;1705;ERMMA;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;1;12;0;;0;0
8238;585-1-3843;1;3843;27.6.2019 8:28;15.7.2019 10:44;Výmena okien;Celková nabídka účastníka;16166,4;10400;EUR;12;7;7;3768;ERMMA;Stavebnictví;Stavební práce, rekonstrukce a revitalizace;1;50;12;Slovenská republika;0,5;0,35669042
8239;1474-60-1991;60;1991;10.7.2019 11:00;15.7.2019 11:00;mydło w pianie ;Celková nabídka účastníka;0;7200;PLN;-2;7;7;8100;poptavka;Úklid, úklidové služby;Čistící a hygienické prostředky;4;57;0;;0,1;0
8240;198-116-6213;116;6213;4.7.2019 11:00;15.7.2019 11:30;Nářadí;Jednotlivé položky;4861,6524;901,248;CZK;42;6;6;4239;poptavka;Stroje, zařízení, nástroje, nářadí;Nářadí a nástroje;6;21;0;Česká republika;0,1;0,814621054
8241;1072-6-916;6;916;10.7.2019 14:00;15.7.2019 11:45;Výběrové řízení;Jednotlivé položky;0;2566326;CZK;12;8;8;2944;ERMMA;Hutní materiál, kovy a slitiny;Tyče a dráty;14;779;659;;0,1;0
8242;198-116-6148;116;6148;18.6.2019 10:00;15.7.2019 11:45;Oprava odprašov;Celková nabídka účastníka;2163000;1781640;CZK;4;3;3;3946;poptavka;Stroje, zařízení, nástroje, nářadí;Opravy a údržba;1;10;0;Česká republika;0,1;0,17631068
8243;198-116-6214;116;6214;4.7.2019 11:30;15.7.2019 12:00;Laboratorní pot;Jednotlivé položky;3955,2;694,88;CZK;28;3;3;4120;poptavka;Chemie;Laboratorní vybavení, příslušenství, nábytek a přístroje;5;18;0;Česká republika;0,1;0,824312298
8244;1467-5-1951;5;1951;9.7.2019 11:00;15.7.2019 12:02;In vivo brojačk;Celková nabídka účastníka;148500;155688;HRK;7;4;4;295;nipon;Zdravotnictví;Přístroje a zařízení;1;24;2;;0;-0,04840404
8245;1474-61-2005;61;2005;15.7.2019 12:18;15.7.2019 12:38;nabavka uredsko;Celková nabídka účastníka;0;1746;HRK;0;9;9;8128;poptavka;Kancelář;Kancelářské potřeby;2;84;0;;0,1;0
8246;1482-61-2005;61;2005;15.7.2019 12:18;15.7.2019 12:38;nabavka uredsko;Celková nabídka účastníka;0;1818;HRK;0;9;9;8128;poptavka;Kancelář;Kancelářské potřeby;2;84;0;;0,1;0
8247;1474-61-2007;61;2007;15.7.2019 12:56;15.7.2019 13:05;telefon;Celková nabídka účastníka;0;8725,08;HRK;1;4;4;8128;poptavka;Počítače, IT a telekomunikační služby;Telekomunikační služby a zařízení;2;24;0;;0,1;0
